Date,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,return_on_investment,tangible_equity,return_on_tangible_equity,price,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,shares_outstanding,ps_ratio,pb_ratio,pfcf_ratio,total_assets,ticker
3/31/2009,,,,0.97,,33.85,2.46,33.54,2.44,18.93,0.78,,,,,,,13.75,24.31,,,,,,,,,,,,,,,AAPL
6/30/2009,,,,1.03,,35.17,2.11,34.79,2.09,22.25,0.86,,,,,,,16.66,25.89,,24222,25888,9734,3983,2632,2814,1828,0.07,25456,,,,,AAPL
9/30/2009,,,,1.26,,31.56,2.74,31.1,2.7,15.86,0.5,,,,,,,11.51,31.64,,23464,31640,12207,5105,3684,3887,2532,0.1,25396,,,,,AAPL
12/31/2009,0.31,20.67741935483871,1.83,1.41,0.56,33.33,2.55,32.76,2.5,18.16,0.51,31.83,19.41,142.29,35.27,32.35,6.41,13.1,35.77,9.36,24796,35768,15683,6411,4725,4934,3378,0.13,25754,3.5027322404371586,4.546099290780142,11.446428571428571,53.93,AAPL
3/31/2010,0.36,19.833333333333332,1.99,1.54,0.47,32.34,2.64,31.7,2.59,17.71,0.45,32.6,20.93,142.29,38.61,33.14,7.14,12.23,39.35,10.81,23155,39348,13499,5625,3979,4195,3074,0.12,25841,3.587939698492462,4.636363636363636,15.191489361702128,57.06,AAPL
6/30/2010,0.44,17.386363636363637,2.22,1.69,0.55,36.03,2.31,35.09,2.25,21.61,0.5,32.66,21.93,142.29,42.08,33.27,7.65,15.61,43.11,12.24,24288,43111,15700,6136,4234,4507,3253,0.13,25966,3.4459459459459456,4.5266272189349115,13.909090909090908,64.73,AAPL
9/30/2010,0.54,15.981481481481483,2.52,1.86,0.64,41.68,2.01,40.63,1.96,27.39,0.57,33.76,22.34,142.29,46.71,34.46,8.63,20.72,47.79,14.01,25620,47791,20343,7512,5447,5776,4308,0.17,25892,3.424603174603175,4.639784946236559,13.484375000000002,75.18,AAPL
12/31/2010,0.64,15.328125,2.94,2.12,0.76,43.93,1.85,43.04,1.81,32.08,0.59,35.99,23.46,142.29,53.4,36.81,9.81,23.8,54.67,16.64,26977,54666,26741,10298,7827,8183,6004,0.23,26128,3.3367346938775513,4.627358490566038,12.907894736842106,86.74,AAPL
3/31/2011,0.75,14.133333333333333,3.36,2.37,0.89,47,1.93,46.07,1.89,33.43,0.54,37.77,24.32,142.29,60.23,38.64,10.6,24.33,61.48,19.55,29234,61477,24667,10218,7874,8308,5987,0.23,26206,3.1547619047619047,4.472573839662447,11.910112359550562,94.9,AAPL
6/30/2011,0.9,11.333333333333332,3.84,2.67,1.12,46.9,1.75,46.01,1.71,37.42,0.54,40.48,25.97,142.29,67.43,41.46,10.2,26.86,69.34,23.61,28395,69343,28571,11922,9379,9860,7308,0.28,26259,2.65625,3.8202247191011236,9.107142857142856,106.76,AAPL
9/30/2011,0.99,11.707070707070708,4.13,2.94,1.27,44.99,1.61,44.21,1.58,39.76,0.52,39.56,25.62,142.29,72.18,40.94,11.59,27.97,76.62,25.92,25952,76615,28270,11380,8710,9253,6623,0.25,26226,2.8062953995157387,3.942176870748299,9.125984251968504,116.37,AAPL
12/31/2011,1.25,9.848,4.86,3.45,1.56,54.77,1.58,53.54,1.55,48.63,0.54,44.35,28.89,142.29,85.69,46.2,12.31,34.61,90.05,32.98,30156,90054,46333,20703,17340,18061,13064,0.5,26364,2.5329218106995883,3.5681159420289856,7.891025641025641,138.68,AAPL
3/31/2012,1.46,12.486301369863014,5.4,3.92,1.82,50.71,1.58,49.61,1.55,48.44,0.47,45.63,30.13,142.29,97.75,47.81,18.23,32.04,102.5,38.62,28538,102498,39186,18564,15384,16124,11622,0.44,26457,3.3759259259259258,4.650510204081633,10.016483516483516,150.93,AAPL
6/30/2012,1.52,11.677631578947368,5.64,4.26,1.73,51.94,1.57,50.82,1.54,51.15,0.46,42.14,28.22,142.29,106.29,44.36,17.75,33.06,111.75,40.13,27654,111746,35023,14994,11573,12408,8824,0.33,26518,3.147163120567376,4.166666666666667,10.260115606936417,162.9,AAPL
9/30/2012,1.58,12.89240506329114,5.92,4.5,1.61,57.65,1.5,56.86,1.48,57.85,0.49,39.51,26.56,142.29,112.85,41.47,20.37,38.54,118.21,41.73,29129,118210,35966,14401,10944,11925,8223,0.31,26470,3.4408783783783785,4.526666666666667,12.652173913043478,176.06,AAPL
12/31/2012,1.58,10.335443037974683,6.22,4.84,1.79,72.35,1.54,70.89,1.51,68.74,0.54,36.32,24.34,142.29,121.5,38.09,16.33,46.88,127.35,41.75,39820,127346,54512,21060,17210,18798,13078,0.49,26522,2.625401929,3.373966942,9.122905028,196.09,AAPL
3/31/2013,1.5,9.106666666666667,6.38,5.15,1.71,63.34,1.78,62.09,1.75,59.25,0.44,32.2,21.74,142.29,129.95,33.72,13.66,35.51,135.49,39.67,39137,135490,43603,16349,12558,14250,9547,0.36,26489,2.1410658307210033,2.652427184466019,7.988304093567252,194.74,AAPL
6/30/2013,1.43,8.608391608391608,6.43,4.85,1.67,68.22,1.88,66.52,1.83,76.5,0.62,29.93,19.69,142.29,117.48,31.34,12.31,36.32,123.35,37.75,42606,123354,35323,13024,9201,10895,6900,0.27,25879,1.9144634525660966,2.5381443298969075,7.371257485029941,199.86,AAPL
